order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00000044,12/14/2024,P0064,S053,C019894,2,8.29,0,16.58,9.59,6.99
0RD00000053,12/31/2024,P0195,S094,C024141,1,7.93,0.2,6.34,3.26,3.08
0RD00000063,12/29/2024,P0114,S090,C043362,3,6.08,0,18.24,10.57,7.67
0RD00000074,12/5/2024,P0015,S001,C041773,3,14.87,0.2,35.69,21.64,14.05
0RD00000076,12/23/2024,P0163,S074,C006110,2,12.26,0,24.52,12.41,12.11
0RD00000082,12/24/2024,P0100,S042,C040090,5,3.37,0,16.85,9.68,7.17
0RD00000093,12/17/2024,P0132,S073,C000987,1,6.76,0,6.76,4.53,2.23
0RD00000104,12/2/2024,P0015,S041,C040664,3,13.3,0.2,31.92,17.1,14.82
0RD00000107,12/26/2024,P0171,S043,C031312,1,12.93,0.2,10.34,5.67,4.67
0RD00000118,12/10/2024,P0080,S042,C037981,5,11.69,0,58.45,34.78,23.67
0RD00000169,12/23/2024,P0129,S065,C047824,5,10.2,0.15,43.35,28.95,14.4
0RD00000206,12/1/2024,P0038,S052,C021088,4,7.84,0,31.36,20.13,11.23
0RD00000242,12/2/2024,P0026,S100,C019315,1,6.78,0,6.78,4.4,2.38
0RD00000296,12/22/2024,P0196,S079,C024611,1,10.44,0,10.44,6.11,4.33
0RD00000300,12/11/2024,P0127,S060,C011116,4,12.26,0.1,44.14,28.87,15.27
0RD00000337,12/30/2024,P0080,S098,C033992,3,4.61,0.1,12.45,7.37,5.08
0RD00000398,12/10/2024,P0091,S001,C000015,3,4.28,0.15,10.91,5.66,5.25
0RD00000431,12/5/2024,P0046,S001,C042094,1,9.92,0,9.92,6.77,3.15
0RD00000506,12/4/2024,P0073,S085,C009854,3,3.16,0,9.48,5.33,4.15
0RD00000533,12/9/2024,P0094,S040,C035597,5,6.57,0.15,27.92,17.41,10.52
0RD00000609,12/18/2024,P0092,S076,C042594,3,10.49,0,31.47,20.82,10.65
0RD00000622,12/14/2024,P0064,S019,C011547,4,3.29,0,13.16,8.78,4.38
0RD00000627,12/6/2024,P0054,S087,C010533,3,3.29,0,9.87,5.04,4.83
0RD00000661,12/22/2024,P0189,S040,C049416,3,10.19,0,30.57,19.76,10.81
0RD00000671,12/13/2024,P0161,S066,C002520,2,13.13,0,26.26,17.21,9.05
0RD00000679,12/17/2024,P0050,S042,C014445,5,8.65,0,43.25,28.12,15.13
0RD00000680,12/2/2024,P0137,S054,C021141,5,12.73,0.2,50.92,26.98,23.94
0RD00000682,12/10/2024,P0148,S020,C036505,3,10.98,0,32.94,17.54,15.4
0RD00000710,12/7/2024,P0135,S063,C042447,1,4.86,0.15,4.13,2.78,1.35
0RD00000715,12/21/2024,P0201,S042,C002777,1,8.4,0,8.4,5.6,2.8
0RD00000754,12/27/2024,P0037,S095,C020323,2,5.83,0,11.66,8.05,3.61
0RD00000769,12/15/2024,P0002,S063,C010804,3,4.27,0,12.81,7.02,5.79
0RD00000787,12/25/2024,P0122,S067,C038298,1,5.62,0,5.62,3.67,1.95
0RD00000799,12/21/2024,P0101,S062,C041147,1,3.25,0,3.25,1.69,1.56
0RD00000816,12/12/2024,P0013,S084,C036472,4,12.95,0.1,46.62,31.77,14.85
0RD00000824,12/30/2024,P0053,S034,C036610,5,14.37,0,71.85,46.78,25.07
0RD00000837,12/3/2024,P0033,S037,C006756,1,6.53,0.15,5.55,3.61,1.94
0RD00000847,12/19/2024,P0156,S057,C003612,3,9.33,0.1,25.19,14.7,10.49
0RD00000895,12/17/2024,P0187,S093,C025437,1,14.88,0,14.88,7.72,7.16
0RD00000899,12/16/2024,P0016,S036,C017635,2,11.54,0.1,20.77,13.48,7.3
0RD00000943,12/25/2024,P0032,S001,C029703,2,6.02,0,12.04,6.18,5.86
0RD00000951,12/12/2024,P0167,S082,C044200,3,8.12,0.1,21.92,15.17,6.75
0RD00000965,12/18/2024,P0102,S075,C005399,5,6.42,0,32.1,16.99,15.11
0RD00000982,12/28/2024,P0029,S026,C006686,2,7.99,0.15,13.58,7.18,6.41
0RD00000997,12/19/2024,P0062,S033,C040528,1,3.91,0.15,3.32,2.04,1.28
0RD00001022,12/2/2024,P0014,S090,C037084,2,9.6,0.15,16.32,11.38,4.94
0RD00001067,12/4/2024,P0186,S094,C030249,4,4.6,0,18.4,12.78,5.62
0RD00001129,12/1/2024,P0067,S007,C045918,3,9.71,0,29.13,16.73,12.4
0RD00001170,12/9/2024,P0092,S009,C011664,2,10.42,0,20.84,11.74,9.1
0RD00001177,12/22/2024,P0071,S081,C043201,2,12.35,0,24.7,16.78,7.92
0RD00001178,12/1/2024,P0200,S010,C047202,3,7.73,0.1,20.87,13.96,6.91
0RD00001201,12/1/2024,P0200,S017,C027810,5,13.78,0,68.9,39.53,29.37
0RD00001226,12/10/2024,P0123,S042,C004668,1,11.57,0,11.57,7.29,4.28
0RD00001257,12/17/2024,P0174,S095,C004502,1,10.45,0,10.45,6.14,4.31
0RD00001312,12/14/2024,P0065,S070,C037530,5,11.99,0,59.95,30.33,29.62
0RD00001364,12/14/2024,P0174,S047,C011944,3,7.39,0,22.17,11.23,10.94
0RD00001392,12/17/2024,P0094,S027,C013367,2,13.96,0,27.92,19.27,8.65
0RD00001464,12/6/2024,P0000,S016,C031012,1,4.26,0,4.26,2.87,1.39
0RD00001499,12/15/2024,P0140,S042,C019287,1,3.79,0.2,3.03,1.78,1.25
0RD00001515,12/31/2024,P0111,S033,C014116,2,11.61,0,23.22,15.08,8.14
0RD00001524,12/30/2024,P0042,S083,C025900,1,12.52,0,12.52,8.18,4.34
0RD00001535,12/10/2024,P0033,S062,C028831,4,3.59,0.15,12.21,7.75,4.46
0RD00001537,12/8/2024,P0130,S100,C021143,2,12.51,0,25.02,14.15,10.87
0RD00001555,12/30/2024,P0104,S053,C036509,4,14.55,0.2,46.56,30.4,16.16
0RD00001594,12/20/2024,P0161,S012,C003188,4,10.14,0,40.56,24.42,16.14
0RD00001713,12/29/2024,P0022,S006,C009864,5,11.64,0.1,52.38,29.17,23.21
0RD00001758,12/14/2024,P0139,S023,C034684,3,6.82,0,20.46,12.82,7.64
0RD00001774,12/5/2024,P0179,S084,C042176,5,13.95,0,69.75,40.78,28.97
0RD00001778,12/16/2024,P0153,S052,C037572,3,5.13,0,15.39,9.06,6.33
0RD00001785,12/25/2024,P0168,S098,C009429,2,10.09,0.15,17.15,10.75,6.41
0RD00001795,12/11/2024,P0033,S052,C023171,3,13.71,0.15,34.96,19.82,15.15
0RD00001798,12/1/2024,P0199,S029,C006834,3,6.86,0,20.58,11.57,9.01
0RD00001809,12/21/2024,P0133,S022,C009533,5,11.29,0,56.45,34.79,21.66
0RD00001810,12/11/2024,P0078,S062,C030094,5,14.28,0.2,57.12,35.49,21.63
0RD00001851,12/17/2024,P0012,S081,C003829,4,10.93,0.15,37.16,24.97,12.2
0RD00001878,12/3/2024,P0021,S049,C026500,5,11.25,0,56.25,34.9,21.35
0RD00001951,12/13/2024,P0075,S036,C049771,4,10.3,0,41.2,22.04,19.16
0RD00001964,12/23/2024,P0141,S012,C034470,4,12.77,0,51.08,32.72,18.36
0RD00001970,12/12/2024,P0055,S021,C017528,2,9.61,0.15,16.34,10.86,5.48
0RD00002008,12/4/2024,P0072,S085,C013555,5,3.26,0,16.3,10.02,6.28
0RD00002031,12/16/2024,P0146,S055,C046690,1,10.3,0,10.3,5.23,5.07
0RD00002032,12/23/2024,P0109,S093,C011538,2,6.13,0.15,10.42,6.31,4.11
0RD00002037,12/4/2024,P0049,S036,C001007,5,3.39,0,16.95,11.62,5.33
0RD00002103,12/7/2024,P0103,S030,C024128,5,6.83,0.2,27.32,17.96,9.36
0RD00002106,12/16/2024,P0098,S017,C004227,5,9.77,0,48.85,28.29,20.56
0RD00002112,12/26/2024,P0152,S069,C044729,2,8.44,0.1,15.19,7.81,7.38
0RD00002124,12/6/2024,P0180,S073,C035149,2,3.92,0,7.84,4.99,2.85
0RD00002129,12/20/2024,P0055,S097,C006849,3,6.18,0.1,16.69,10.26,6.42
0RD00002166,12/27/2024,P0095,S027,C019793,2,11.21,0.15,19.06,11.22,7.83
0RD00002205,12/19/2024,P0170,S040,C001207,3,10.29,0,30.87,16.54,14.33
0RD00002207,12/7/2024,P0163,S078,C007292,5,10.06,0,50.3,31.01,19.29
0RD00002211,12/9/2024,P0028,S045,C048120,5,10.1,0,50.5,25.94,24.56
0RD00002233,12/19/2024,P0150,S044,C002389,4,4.91,0,19.64,13.75,5.89
